, 4092, 10
0, 4124, 2
0, 4174, 18
0, 4126, 16
1, 112962, 134
0, 4192, 2
1, 113096, 275
0, 4142, 14
0, 4194, 2
0, 4156, 18
0, 4196, 2
1, 113370, 167
0, 113537, 1
1, 113537, 1
0, 4238, 18
0, 4198, 2
0, 4256, 2
0, 4200, 16
0, 4258, 2
0, 4216, 20
0, 4260, 2
0, 4236, 2
0, 4262, 2
0, 4318, 18
0, 4264, 16
0, 4336, 2
0, 4280, 16
0, 4338, 2
0, 4296, 18
0, 4340, 2
0, 4314, 4
0, 4390, 18
0, 4342, 8
1, 113536, 479
0, 114015, 1
1, 114015, 1
0, 4350, 4
0, 4408, 2
0, 4354, 16
0, 4410, 2
0, 4370, 16
0, 4412, 2
0, 4386, 4
0, 4458, 18
0, 4414, 18
0, 4476, 2
0, 4432, 12
0, 4478, 2
0, 4444, 14
0, 4480, 2
0, 4528, 18
1, 114014, 384
0, 4482, 12
0, 4546, 2
0, 4494, 16
0, 4548, 2
0, 4510, 12
0, 4550, 2
0, 4522, 6
0, 4602, 18
0, 4552, 2
0, 4620, 2
0, 4554, 30
0, 4622, 2
0, 4584, 16
0, 4624, 2
0, 4600, 2
1, 114396, 32
0, 4658, 18
1, 114428, 385
0, 114813, 1
1, 114813, 1
0, 4626, 2
0, 4676, 2
0, 4628, 14
0, 4678, 2
0, 4642, 14
0, 4680, 2
0, 4656, 2
0, 4708, 18
0, 4682, 2
0, 4726, 2
0, 4684, 12
0, 4728, 2
0, 4696, 12
0, 4730, 2
1, 114812, 332
0, 4776, 18
1, 115144, 14
0, 4732, 8
0, 4794, 2
0, 4740, 22
0, 4796, 2
0, 4762, 14
0, 4798, 2
0, 4844, 18
0, 4800, 6
0, 4862, 2
0, 4806, 22
0, 4864, 2
0, 4828, 16
0, 4866, 2
1, 115156, 417
0, 115573, 1
1, 115573, 1
0, 4936, 18
0, 4868, 18
0, 4954, 2
0, 4886, 16
0, 4956, 2
0, 4902, 16
0, 4958, 2
0, 4918, 18
0, 4982, 18
0, 4960, 4
0, 5000, 2
0, 4964, 14
0, 5002, 2
0, 4978, 4
0, 5004, 2
1, 115572, 416
0, 115988, 1
1, 115988, 1
0, 5030, 18
0, 5006, 4
0, 5048, 2
0, 5010, 10
0, 5050, 2
0, 5020, 10
0, 5052, 2
0, 5146, 18
0, 5054, 6
0, 5164, 2
0, 5060, 20
0, 5166, 2
0, 5080, 20
0, 5168, 2
1, 115988, 444
0, 5100, 46
0, 5228, 18
1, 116430, 215
0, 5170, 22
0, 5246, 2
0, 5192, 12
0, 5248, 2
0, 5204, 16
0, 5250, 2
0, 5220, 8
0, 5298, 18
0, 5252, 8
0, 5316, 2
0, 5260, 20
0, 5318, 2
0, 5280, 18
0, 5320, 2
0, 5368, 18
0, 5322, 10
1, 116644, 512
0, 5332, 2
0, 5386, 2
0, 5334, 20
0, 5388, 2
0, 5354, 14
0, 5390, 2
0, 5434, 18
0, 5392, 2
0, 5452, 2
0, 5394, 16
0, 5454, 2
0, 5410, 18
0, 5456, 2
0, 5428, 6
0, 5458, 2
1, 117156, 36
0, 5508, 18
1, 117192, 354
0, 5460, 16
0, 5526, 2
0, 5476, 18
0, 5528, 2
0, 5494, 6
1, 117544, 131
0, 117675, 1
1, 117675, 1
0, 5500, 8
0, 5530, 2
0, 5578, 18
0, 5532, 8
0, 5596, 2
0, 5540, 26
0, 5598, 2
0, 5566, 8
1, 117674, 228
0, 5574, 4
0, 5600, 2
0, 5666, 18
0, 5602, 10
0, 5684, 2
0, 5612, 22
0, 5686, 2
1, 117900, 193
0, 118093, 1
1, 118093, 1
0, 5634, 22
0, 5688, 2
0, 5656, 10
0, 5690, 2
0, 5752, 20
0, 5692, 22
0, 5772, 2
0, 5714, 20
0, 5774, 2
0, 5734, 18
0, 5776, 2
0, 5830, 18
0, 5778, 24
0, 5848, 2
1, 118092, 512
0, 5802, 16
0, 5850, 2
0, 5818, 12
1, 118604, 124
0, 5852, 2
1, 118728, 18
0, 118746, 1
1, 118746, 1
0, 5898, 18
0, 5854, 2
0, 5916, 2
0, 5856, 14
0, 5918, 2
0, 5870, 16
0, 5920, 2
0, 5886, 12
0, 5922, 2
0, 5980, 20
0, 5924, 22
0, 6000, 2
0, 5946, 18
0, 6002, 2
0, 5964, 16
0, 6004, 2
1, 118746, 499
0, 6062, 18
0, 6006, 20
0, 6080, 2
0, 6026, 20
0, 6082, 2
0, 6046, 16
0, 6084, 2
0, 6138, 20
0, 6086, 20
0, 6158, 2
0, 6106, 18
1, 119244, 403
0, 6160, 2
0, 6124, 14
0, 6162, 2
0, 6244, 18
0, 6164, 14
0, 6262, 2
0, 6178, 16
0, 6264, 2
0, 6194, 28
0, 6266, 2
0, 6222, 22
0, 6268, 2
0, 6322, 18
0, 6270, 2
0, 6340, 2
0, 6272, 18
1, 119646, 512
0, 6290, 10
0, 6342, 2
0, 6300, 16
0, 6344, 2
0, 6316, 6
0, 6346, 2
0, 6388, 20
0, 6348, 20
0, 6408, 2
0, 6368, 14
0, 6410, 2
0, 6382, 6
0, 6460, 18
1, 120158, 368
0, 120526, 1
1, 120526, 1
0, 6412, 18
0, 6478, 2
0, 6430, 16
0, 6480, 2
0, 6446, 6
1, 120526, 128
0, 6452, 8
0, 6482, 2
0, 6524, 18
0, 6484, 6
0, 6542, 2
0, 6490, 10
0, 6544, 2
0, 6500, 16
0, 6546, 2
0, 6516, 8
0, 6602, 18
0, 6548, 16
0, 6620, 2
0, 6564, 22
1, 120652, 32
0, 6622, 2
1, 120684, 407
0, 121091, 1
1, 121091, 1
0, 6586, 16
0, 6624, 2
0, 6680, 18
0, 6626, 8
0, 6698, 2
0, 6634, 28
0, 6700, 2
0, 6662, 18
0, 6702, 2
0, 6786, 18
1, 121090, 198
0, 6704, 2
1, 121288, 184
0, 6804, 2
0, 6706, 28
0, 6806, 2
0, 6734, 28
0, 6808, 2
0, 6762, 24
0, 6810, 2
